timestamp,open,high,low,close
0,1133.73,1139.53,1122.52,1123.18
1,1120.4,1132.22,1118.99,1132.22
2,1132.35,1133.57,1124.08,1124.48
3,1125.41,1130.38,1125.19,1126.12
4,1126.71,1129.08,1123.88,1128.33
5,1128.18,1130.35,1127.5,1129.88
6,1130.03,1131.74,1126.09,1127.46
7,1127.1,1127.63,1118.04,1118.45
8,1118.45,1121.98,1116.11,1121.1
9,1120.77,1123.13,1118.98,1119.78
10,1119.71,1123.91,1113.28,1113.31
11,1112.78,1112.78,1099.84,1100.5
12,1101.52,1104.81,1097.36,1104.81
13,1104.65,1104.65,1104.65,1104.65
14,1104.65,1104.65,1104.65,1104.65
15,1091.48,1093.08,1082.7,1082.7
16,1081.24,1083.85,1071.35,1075.47
17,1075.14,1082.45,1074.32,1078.97
18,1078.19,1080.58,1073.23,1074.88
19,1075.84,1086.47,1075.84,1084.64
20,1085.23,1094.12,1082.74,1092.82
21,1092.3,1093.39,1088.89,1089.99
22,1089.73,1098.79,1089.1,1092.5
23,1092.02,1102.62,1091.59,1101.38
24,1101.38,1109.82,1101.38,1106.77
25,1107.07,1110.19,1105.18,1109.2
26,1109.12,1115.47,1108.27,1112.56
27,1112.55,1112.55,1096.21,1099.81
28,1099.96,1099.96,1099.95,1099.95
29,1099.95,1099.95,1099.95,1099.95
30,1100.8,1103.94,1094.33,1097.12
31,1101.05,1107.63,1098.33,1099.6
32,1099.22,1104.74,1098.71,1102.6
33,1101.93,1101.93,1095.56,1097.95
34,1097.03,1100.46,1094.14,1098.85
35,1098.97,1104.8,1097.97,1104.8
36,1105.05,1110.88,1103.76,1110.74
37,1110.8,1111.58,1105.09,1108.43
38,1108.1,1112.49,1105.95,1112.33
39,1112.19,1119.9,1111.34,1114.97
40,1115.44,1118.19,1113.47,1116.12
41,1116.36,1120,1114.25,1118.87
42,1118.32,1119.49,1114.43,1117.88
43,1118.2,1118.2,1118.2,1118.2
44,1118.2,1118.2,1118.2,1118.2
45,1097.99,1098.02,1090.22,1094.64
46,1093.52,1108.34,1092.57,1106.54
47,1106.3,1108.47,1102.47,1104.43
48,1104.86,1107.35,1099.59,1103.08
49,1103.96,1105.53,1093.86,1093.91
50,1093.37,1094.85,1086.44,1087.53
51,1087.51,1090.05,1082.94,1086.5
52,1086.43,1087.02,1081.75,1081.76
53,1081.84,1082.82,1075.58,1078.58
54,1078.48,1078.48,1069.55,1070.3
55,1070.11,1080.03,1068.78,1071.09
56,1069.97,1075.29,1068.19,1072.3
57,1073.26,1074.16,1068.19,1071.79
58,1071.69,1071.69,1071.68,1071.68
59,1071.68,1071.68,1071.68,1071.68
60,1066.64,1077.79,1062.87,1071.83
61,1069.7,1072.92,1060.17,1060.42
62,1059.66,1059.86,1049.8,1055.05
63,1054.63,1054.99,1043.05,1043.12
64,1043.59,1043.59,1034.93,1038.12
65,1038.3,1042.67,1036.18,1042.31
66,1040.99,1054.49,1040.88,1046.91
67,1047.04,1057.72,1046.81,1054.22
68,1054.31,1063.42,1053.9,1063.27
69,1063.14,1070.24,1061.32,1069.19
70,1069.29,1070.27,1064.33,1066.82
71,1066.17,1071,1065.86,1068.89
72,1068.66,1071.34,1062.58,1068.75
73,1068.91,1068.91,1068.91,1068.91
74,1068.91,1068.91,1068.91,1068.91
75,1047.27,1047.27,1036.11,1039.64
76,1037.82,1037.82,1028.56,1029.01
77,1028.79,1030.43,1020.03,1021.61
78,1022.34,1029.18,1022.03,1029.01
79,1029.19,1036.68,1029.16,1030.63
80,1030.69,1032.47,1026.2,1029.11
81,1029.1,1031.71,1025.08,1025.86
82,1026.01,1027.04,1022.12,1024.62
83,1024.59,1024.78,1018.99,1019.92
84,1020.05,1021.53,1016.74,1018.74
85,1019.01,1020.57,1014.8,1015.01
86,1014.81,1026.86,1012.28,1023.65
87,1024.36,1030.29,1020.8,1024.57
88,1024.53,1024.56,1024.53,1024.56
89,1022.61,1037.61,1022.59,1034.81
90,1031.96,1040.48,1022.02,1022.02
91,1023.08,1028.82,1020.26,1023.37
92,1021.73,1032.86,1021.73,1030.51
93,1030.74,1037.55,1030,1030.74
94,1030.77,1033,1027.67,1030.69
95,1031.6,1032.47,1025.14,1026.37
96,1026.26,1026.29,1018.96,1018.96
97,1018.59,1027.29,1018.43,1025.02
98,1025.05,1036.55,1025.05,1034.47
99,1034.43,1044.19,1032.63,1041.19
100,1040.6,1043.03,1032.88,1035.13
101,1035.44,1036.16,1028.37,1028.93
102,1029,1029,1029,1029
103,1029,1029,1029,1029
104,1051.51,1056.24,1038.13,1040.33
105,1038.64,1044.99,1036.52,1043.16
106,1043.05,1043.54,1033.1,1033.1
107,1033.77,1037.39,1028.87,1036.56
108,1036.8,1042.6,1036.02,1042.6
109,1042.26,1046.67,1040.13,1045.4
110,1045.71,1048.88,1042.1,1044.54
111,1044.84,1048.33,1043.43,1047.73
112,1047.59,1048.95,1039.13,1039.13
113,1039.15,1046.27,1039.01,1046.27
114,1046.4,1049.55,1045.47,1048.31
115,1048.15,1048.16,1043.7,1045.66
116,1046.39,1047.27,1041.94,1043.8
117,1043.99,1043.99,1043.99,1043.99
118,1043.99,1043.99,1043.99,1043.99
119,1038.58,1039.4,1017.4,1018.51
120,1017.14,1030.21,1016.18,1026.07
121,1026.35,1029.05,1022.22,1024.75
122,1026.84,1027.57,1020.08,1020.68
123,1020.46,1022.03,1016.36,1016.39
124,1016.4,1018.79,1015.96,1017.26
125,1017.02,1021.27,1013.45,1015.48
126,1015.49,1016.2,1009.81,1012.3
127,1011.97,1012.15,1007.81,1009.06
128,1009.06,1016.89,1009.05,1016.38
129,1016.39,1020.57,1015.39,1020.22
130,1019.59,1021.85,1012.83,1013.66
131,1013.44,1015.14,1010.86,1012.16
132,1012.39,1012.41,1012.39,1012.41
133,1012.41,1012.41,1012.41,1012.41
134,1026.54,1037.86,1026.54,1031.68
135,1026.85,1034.26,1026,1027.88
136,1027.9,1035.76,1027.87,1035.76
137,1037.11,1038.85,1035.79,1037.44
138,1037.5,1041.06,1037.34,1040.42
139,1040.5,1040.8,1036.14,1036.73
140,1036.76,1041.71,1036.21,1041.03
141,1040.38,1041.58,1038.15,1038.63
142,1038.67,1039.57,1035.85,1035.98
143,1036.09,1038.65,1036.09,1037.08
144,1037.25,1040.55,1037.22,1038.89
145,1038.85,1040.41,1037.42,1037.52
146,1037.6,1042.02,1037,1040.78
147,1041.02,1041.02,1041.02,1041.02
148,1041.02,1041.02,1041.02,1041.02
149,1042.72,1054.17,1041.79,1049.1
150,1048.2,1050.58,1044.68,1044.98
151,1044.56,1047.09,1042.93,1043.89
152,1044.18,1048.29,1042.82,1045.64
153,1045.61,1046.93,1043.36,1045.16
154,1045.21,1049.21,1044.14,1045.48
155,1045.53,1048.03,1044.97,1046.71
156,1046.75,1050.58,1045.88,1050.12
157,1050.28,1053.79,1049.63,1052.81
158,1052.85,1058.06,1052.73,1057.81
159,1057.4,1059.56,1056.74,1058.65
160,1058.71,1059.37,1057.36,1057.94
161,1057.8,1058.73,1050.86,1051.82
162,1051.65,1051.65,1051.65,1051.65
163,1051.65,1051.65,1051.65,1051.65
