Date,Price,Open,High,Low,Change
0,517.78 ,498.64 ,531.66 ,491.78 ,0.0359
1,503.63 ,527.67 ,534.97 ,502.16 ,-0.0273
2,505.77 ,504.16 ,515.60 ,488.27 ,0.0042
3,547.04 ,527.78 ,547.04 ,524.04 ,0.0816
4,541.34 ,548.80 ,564.02 ,536.34 ,-0.0104
5,569.23 ,544.70 ,570.32 ,544.60 ,0.0515
6,552.21 ,553.67 ,564.74 ,545.08 ,-0.0299
7,566.81 ,557.15 ,567.56 ,548.05 ,0.0264
8,559.09 ,564.95 ,576.06 ,555.31 ,-0.0136
9,536.47 ,541.20 ,548.00 ,532.76 ,-0.0405
10,538.91 ,532.78 ,548.15 ,528.42 ,0.0045
11,533.19 ,538.24 ,542.33 ,525.43 ,-0.0106
12,574.92 ,553.54 ,576.55 ,551.32 ,0.0783
13,573.59 ,591.90 ,593.29 ,572.37 ,-0.0023
14,593.50 ,583.19 ,595.45 ,577.87 ,0.0347
15,598.69 ,600.22 ,607.63 ,592.74 ,0.0087
16,600.47 ,596.94 ,601.48 ,587.87 ,0.003
17,621.71 ,613.20 ,624.82 ,611.33 ,0.0354
18,616.54 ,609.40 ,621.54 ,605.77 ,-0.0083
19,622.13 ,621.39 ,626.32 ,614.16 ,0.0091
20,632.57 ,630.60 ,633.47 ,624.52 ,0.0168
21,635.86 ,628.18 ,642.63 ,627.25 ,0.0052
22,613.42 ,628.95 ,631.07 ,607.29 ,-0.0353
23,637.91 ,630.29 ,640.88 ,628.03 ,0.0399
24,636.87 ,638.64 ,646.69 ,634.21 ,-0.0016
25,649.26 ,640.35 ,650.02 ,634.38 ,0.0195
26,657.96 ,657.09 ,661.97 ,655.96 ,0.0134
27,646.11 ,665.74 ,665.90 ,644.57 ,-0.018
28,668.40 ,661.98 ,672.28 ,657.02 ,0.0345
29,668.25 ,666.78 ,672.33 ,662.65 ,-0.0002
30,647.24 ,651.67 ,658.10 ,642.80 ,-0.0314
31,657.32 ,642.27 ,657.43 ,640.52 ,0.0156
32,665.86 ,664.39 ,673.65 ,663.61 ,0.013
33,671.41 ,668.24 ,677.56 ,662.88 ,0.0083
34,689.41 ,683.15 ,691.09 ,681.93 ,0.0268
35,699.49 ,694.58 ,701.03 ,689.31 ,0.0146
36,704.81 ,695.47 ,709.02 ,694.26 ,0.0076
37,692.00 ,707.26 ,710.32 ,691.88 ,-0.0182
38,681.26 ,691.09 ,696.58 ,669.97 ,-0.0155
39,685.86 ,676.06 ,686.02 ,669.90 ,0.0068
40,698.29 ,682.02 ,698.59 ,680.38 ,0.0181
41,705.20 ,707.48 ,712.63 ,704.44 ,0.0099
42,704.47 ,705.01 ,714.96 ,704.46 ,-0.001
43,721.61 ,715.19 ,722.35 ,714.96 ,0.0243
44,714.48 ,723.80 ,725.80 ,710.28 ,-0.0099
45,721.72 ,716.53 ,721.98 ,711.53 ,0.0101
46,720.24 ,736.54 ,736.54 ,718.91 ,-0.0021
47,721.80 ,718.47 ,721.89 ,696.55 ,0.0022
48,721.81 ,718.79 ,735.23 ,718.79 ,0
49,737.62 ,723.14 ,738.15 ,721.46 ,0.0219
50,746.25 ,735.77 ,747.50 ,734.35 ,0.0117
51,748.37 ,748.40 ,748.54 ,736.09 ,0.0028
52,751.73 ,751.13 ,753.40 ,746.41 ,0.0045
53,740.62 ,750.17 ,754.91 ,735.77 ,-0.0148
54,749.18 ,745.00 ,751.73 ,738.39 ,0.0116
55,760.80 ,748.74 ,760.97 ,745.84 ,0.0155
56,758.68 ,756.47 ,762.63 ,754.11 ,-0.0028
57,761.41 ,764.19 ,766.66 ,755.14 ,0.0036
58,723.17 ,741.17 ,752.37 ,722.53 ,-0.0502
59,732.37 ,741.41 ,744.93 ,717.21 ,0.0127
60,743.97 ,721.26 ,745.35 ,717.57 ,0.0158
61,758.83 ,760.55 ,762.86 ,746.16 ,0.02
62,759.95 ,762.73 ,765.31 ,757.20 ,0.0015
63,761.93 ,758.59 ,762.76 ,757.45 ,0.0026
64,765.08 ,770.12 ,771.52 ,757.79 ,0.0041
65,777.77 ,767.63 ,777.92 ,767.23 ,0.0166
66,780.89 ,783.18 ,789.29 ,778.71 ,0.004
67,763.05 ,778.48 ,784.10 ,757.58 ,-0.0228
68,773.83 ,763.00 ,774.43 ,756.89 ,0.0141
69,757.63 ,774.71 ,775.05 ,755.79 ,-0.0209
70,757.32 ,755.69 ,757.62 ,741.96 ,-0.0004
71,771.27 ,758.13 ,773.19 ,756.91 ,0.0184
72,789.02 ,771.89 ,791.75 ,771.41 ,0.023
73,791.56 ,796.97 ,798.97 ,790.53 ,0.0032
74,808.52 ,803.50 ,814.87 ,801.76 ,0.0214
75,805.80 ,807.00 ,820.08 ,804.85 ,-0.0034
76,822.85 ,810.46 ,822.95 ,809.98 ,0.0212
77,830.72 ,829.98 ,833.22 ,814.97 ,0.0096
78,832.29 ,830.65 ,832.91 ,820.09 ,0.0019
79,800.29 ,841.66 ,842.51 ,798.82 ,-0.0384
80,804.01 ,793.40 ,804.80 ,776.75 ,0.0046
81,805.05 ,806.63 ,811.31 ,793.99 ,0.0013
82,800.79 ,796.60 ,803.01 ,788.14 ,-0.0053
83,803.11 ,800.13 ,805.74 ,792.98 ,0.0029
84,830.83 ,805.61 ,832.19 ,803.13 ,0.0345
85,821.59 ,837.31 ,837.31 ,818.67 ,-0.0111
86,820.30 ,821.38 ,826.70 ,814.41 ,-0.0016
87,803.00 ,819.27 ,825.10 ,798.22 ,-0.0211
88,796.98 ,792.29 ,803.36 ,785.01 ,-0.0075
89,809.12 ,802.46 ,811.03 ,797.33 ,0.0152
90,797.78 ,808.46 ,809.53 ,797.12 ,-0.014
91,812.10 ,803.91 ,814.68 ,802.31 ,0.0179
92,817.22 ,804.19 ,819.25 ,800.24 ,0.0063
93,831.86 ,831.66 ,831.89 ,818.63 ,0.0179
94,837.98 ,835.48 ,840.50 ,832.51 ,0.0074
95,840.98 ,837.03 ,841.82 ,833.81 ,0.0036
96,842.41 ,840.98 ,846.00 ,837.15 ,0.0017
97,848.23 ,844.58 ,849.40 ,838.38 ,0.0069
98,836.18 ,845.43 ,851.06 ,828.70 ,-0.0142
99,827.54 ,838.38 ,838.88 ,817.59 ,-0.0103
100,813.00 ,823.13 ,831.12 ,811.96 ,-0.0176
101,821.55 ,818.35 ,825.75 ,818.10 ,0.0105
102,826.70 ,821.13 ,832.76 ,820.45 ,0.0063
103,822.32 ,828.76 ,830.74 ,819.11 ,-0.0053
104,831.08 ,827.47 ,832.69 ,826.00 ,0.0107
105,844.67 ,837.40 ,846.34 ,833.23 ,0.0164
106,842.69 ,845.04 ,851.92 ,839.05 ,-0.0023
107,853.67 ,839.10 ,854.99 ,838.48 ,0.013
108,850.38 ,852.79 ,855.71 ,848.16 ,-0.0039
109,850.38 ,857.48 ,861.54 ,844.06 ,0
110,858.07 ,849.83 ,858.72 ,845.39 ,0.009
111,894.41 ,870.00 ,895.39 ,870.00 ,0.0424
112,887.44 ,894.53 ,895.06 ,880.94 ,-0.0078
113,891.48 ,893.59 ,897.63 ,888.75 ,0.0046
114,898.38 ,892.86 ,902.03 ,890.45 ,0.0077
115,927.08 ,909.73 ,927.47 ,907.73 ,0.0319
116,935.01 ,934.32 ,936.87 ,914.05 ,0.0086
117,884.07 ,917.68 ,917.68 ,872.12 ,-0.0545
118,857.57 ,875.18 ,882.86 ,824.80 ,-0.03
119,830.95 ,828.72 ,851.50 ,826.26 ,-0.031
120,851.55 ,845.31 ,856.67 ,834.37 ,0.0248
121,834.12 ,857.88 ,866.85 ,831.23 ,-0.0205
122,826.49 ,840.44 ,843.12 ,816.32 ,-0.0091
123,832.14 ,835.83 ,842.31 ,827.80 ,0.0068
124,839.76 ,840.96 ,844.80 ,833.70 ,0.0092
125,829.65 ,841.91 ,848.12 ,829.28 ,-0.012
126,815.77 ,810.83 ,818.13 ,804.08 ,-0.0167
127,814.37 ,821.53 ,824.33 ,799.62 ,-0.0017
128,821.31 ,803.47 ,821.43 ,799.83 ,0.0085
129,842.97 ,830.13 ,843.88 ,820.44 ,0.0264
130,823.59 ,842.45 ,847.31 ,821.38 ,-0.023
131,817.80 ,815.90 ,826.79 ,808.89 ,-0.007
132,838.75 ,820.31 ,841.50 ,816.48 ,0.0256
133,851.16 ,850.80 ,854.51 ,842.47 ,0.0148
134,850.20 ,851.38 ,855.33 ,846.80 ,-0.0011
135,851.96 ,849.55 ,861.50 ,846.37 ,0.0021
136,867.58 ,861.82 ,869.84 ,857.22 ,0.0183
137,852.58 ,851.03 ,867.25 ,848.40 ,-0.0173
138,867.96 ,859.35 ,868.28 ,857.75 ,0.018
139,854.98 ,865.84 ,873.32 ,852.07 ,-0.015
140,871.23 ,864.35 ,872.83 ,860.80 ,0.019
141,875.75 ,879.26 ,879.69 ,871.25 ,0.0052
142,890.59 ,882.47 ,891.49 ,880.81 ,0.0169
143,907.61 ,902.34 ,916.43 ,897.61 ,0.0191
144,915.37 ,910.71 ,920.25 ,908.09 ,0.0085
145,903.64 ,920.42 ,922.58 ,897.49 ,-0.0128
146,901.78 ,889.21 ,902.92 ,887.52 ,-0.0021
147,901.21 ,908.44 ,914.32 ,899.36 ,-0.0006
148,893.11 ,907.72 ,912.89 ,890.11 ,-0.009
149,891.46 ,895.46 ,902.69 ,889.59 ,-0.0018
150,895.31 ,903.56 ,912.60 ,894.12 ,0.0043
151,894.86 ,897.35 ,899.33 ,880.24 ,-0.0005
152,904.36 ,896.96 ,904.40 ,889.73 ,0.0106
153,886.72 ,898.19 ,908.38 ,874.84 ,-0.0195
154,900.13 ,892.07 ,902.26 ,889.74 ,0.0151
155,867.83 ,884.44 ,886.21 ,865.67 ,-0.0359
156,880.58 ,880.95 ,886.75 ,875.05 ,0.0147
157,845.51 ,874.07 ,875.61 ,838.36 ,-0.0398
158,843.45 ,851.21 ,857.05 ,831.54 ,-0.0024
159,858.48 ,846.32 ,864.85 ,842.33 ,0.0178
160,900.55 ,883.81 ,903.69 ,880.33 ,0.049
161,927.25 ,921.19 ,930.75 ,918.22 ,0.0296
162,931.04 ,924.63 ,932.67 ,914.35 ,0.0041
163,883.90 ,914.95 ,920.38 ,883.34 ,-0.0506
164,863.04 ,877.53 ,879.40 ,845.56 ,-0.0236
165,886.87 ,874.83 ,887.78 ,873.47 ,0.0276
166,886.17 ,889.15 ,897.34 ,882.23 ,-0.0008
167,892.16 ,895.00 ,895.89 ,881.87 ,0.0068
168,893.48 ,884.63 ,895.52 ,881.26 ,0.0015
169,897.17 ,894.33 ,901.34 ,890.09 ,0.0041
170,893.66 ,897.08 ,902.50 ,890.46 ,-0.0039
171,907.20 ,892.64 ,908.98 ,891.96 ,0.0152
172,907.61 ,908.11 ,916.57 ,905.38 ,0.0005
173,909.26 ,912.91 ,914.39 ,900.13 ,0.0018
174,914.30 ,910.92 ,914.45 ,904.40 ,0.0055
175,926.70 ,918.82 ,928.63 ,917.84 ,0.0136
176,939.78 ,933.30 ,940.44 ,928.63 ,0.0141
177,937.85 ,941.28 ,942.31 ,917.67 ,-0.0021
178,938.14 ,938.05 ,944.06 ,929.82 ,0.0003
179,934.83 ,929.37 ,938.65 ,918.72 ,-0.0035
180,938.68 ,937.03 ,944.60 ,936.88 ,0.0041
181,943.35 ,941.52 ,947.18 ,940.42 ,0.005
182,948.13 ,943.02 ,951.56 ,942.59 ,0.0051
183,952.02 ,950.97 ,952.86 ,944.44 ,0.0041
184,930.78 ,952.70 ,954.42 ,925.90 ,-0.0223
185,948.74 ,923.80 ,949.61 ,921.23 ,0.0193
186,951.37 ,945.01 ,951.48 ,937.83 ,0.0028
187,951.66 ,953.73 ,961.19 ,949.86 ,0.0003
188,960.45 ,956.13 ,960.68 ,952.13 ,0.0092
189,971.18 ,963.50 ,972.51 ,963.07 ,0.0112
190,982.05 ,978.94 ,986.47 ,977.36 ,0.0112
191,985.75 ,986.23 ,986.67 ,977.35 ,0.0038
192,982.72 ,976.52 ,985.73 ,967.29 ,-0.0031
193,995.20 ,984.22 ,995.55 ,980.63 ,0.0127
194,982.14 ,996.49 ,996.97 ,982.12 ,-0.0131
195,978.66 ,984.91 ,988.54 ,976.78 ,-0.0035
196,970.12 ,986.35 ,986.90 ,963.19 ,-0.0087
197,967.63 ,976.19 ,978.68 ,963.00 ,-0.0026
198,963.47 ,972.36 ,973.44 ,963.11 ,-0.0043
199,961.57 ,963.76 ,963.90 ,957.20 ,-0.002
200,951.99 ,965.85 ,966.22 ,935.98 ,-0.01
201,959.20 ,948.54 ,960.01 ,947.86 ,0.0076
202,941.72 ,941.30 ,954.95 ,936.20 ,-0.0182
203,965.64 ,949.63 ,967.00 ,949.63 ,0.0254
204,978.15 ,972.03 ,979.47 ,966.18 ,0.013
205,965.85 ,965.03 ,976.87 ,955.70 ,-0.0126
206,976.80 ,967.34 ,978.51 ,963.25 ,0.0113
207,979.64 ,976.75 ,988.48 ,974.50 ,0.0029
208,972.31 ,982.67 ,989.03 ,970.98 ,-0.0075
209,964.38 ,975.50 ,980.28 ,959.95 ,-0.0082
210,981.25 ,974.90 ,982.98 ,968.16 ,0.0175
211,1006.29 ,1000.78 ,1009.62 ,995.96 ,0.0255
212,1008.94 ,1013.96 ,1014.29 ,1006.07 ,0.0026
213,1011.78 ,1006.63 ,1012.75 ,1004.92 ,0.0028
214,1012.00 ,1022.81 ,1028.97 ,992.55 ,0.0002
215,1008.55 ,1014.21 ,1016.91 ,1006.79 ,-0.0034
216,978.65 ,994.85 ,1002.06 ,974.48 ,-0.0296
217,990.73 ,987.84 ,1003.05 ,986.94 ,0.0123
218,978.51 ,987.91 ,990.73 ,966.60 ,-0.0123
219,1004.67 ,987.11 ,1006.94 ,981.34 ,0.0267
220,1026.65 ,1015.34 ,1029.52 ,1014.29 ,0.0219
221,1031.04 ,1039.54 ,1040.63 ,1027.80 ,0.0043
222,1050.75 ,1042.15 ,1050.77 ,1038.36 ,0.0191
223,1068.89 ,1055.08 ,1069.13 ,1051.97 ,0.0173
224,1076.01 ,1076.05 ,1080.65 ,1068.63 ,0.0067
225,1080.41 ,1073.81 ,1084.03 ,1073.74 ,0.0041
226,1084.58 ,1086.74 ,1091.10 ,1065.74 ,0.0039
227,1092.81 ,1095.38 ,1101.28 ,1085.45 ,0.0076
228,1101.29 ,1092.01 ,1101.74 ,1086.27 ,0.0078
229,1101.05 ,1107.44 ,1114.09 ,1093.63 ,-0.0002
230,1088.89 ,1088.01 ,1092.41 ,1072.91 ,-0.011
231,1081.57 ,1075.41 ,1085.71 ,1066.17 ,-0.0067
232,1079.48 ,1088.08 ,1090.47 ,1078.25 ,-0.0019
233,1044.15 ,1066.13 ,1068.50 ,1042.57 ,-0.0327
234,1045.33 ,1015.32 ,1048.90 ,990.76 ,0.0011
235,1043.97 ,1039.72 ,1046.92 ,1025.95 ,-0.0013
236,1005.78 ,1040.07 ,1050.41 ,1000.78 ,-0.0366
237,1014.77 ,1019.12 ,1027.04 ,996.30 ,0.0089
238,1047.92 ,1032.71 ,1049.23 ,1023.65 ,0.0327
239,1023.92 ,1053.72 ,1053.72 ,1023.65 ,-0.0229
240,980.17 ,1020.18 ,1023.37 ,976.40 ,-0.0427
241,957.32 ,974.72 ,987.61 ,939.46 ,-0.0233
242,965.67 ,966.73 ,967.42 ,917.08 ,0.0087
243,934.77 ,966.00 ,976.94 ,934.44 ,-0.032
244,976.74 ,966.68 ,983.45 ,961.31 ,0.0449
245,972.54 ,991.80 ,995.37 ,968.88 ,-0.0043
246,1009.24 ,990.94 ,1012.91 ,990.00 ,0.0377
247,997.67 ,992.38 ,998.73 ,980.45 ,-0.0115
248,1009.36 ,998.00 ,1009.50 ,991.76 ,0.0117
249,1006.38 ,1016.83 ,1022.64 ,998.40 ,-0.003
250,1011.15 ,992.89 ,1019.33 ,984.60 ,0.0047
251,974.70 ,995.37 ,997.21 ,973.45 ,-0.036
252,989.76 ,977.94 ,992.24 ,973.04 ,0.0155
253,1002.24 ,992.72 ,1008.99 ,991.57 ,0.0126
254,998.22 ,1004.91 ,1011.86 ,996.22 ,-0.004
255,966.29 ,1000.68 ,1000.89 ,965.23 ,-0.032
256,962.30 ,955.09 ,968.91 ,948.91 ,-0.0041
257,977.34 ,964.31 ,977.86 ,955.12 ,0.0156
258,971.43 ,976.01 ,982.03 ,963.73 ,-0.006
259,968.09 ,965.92 ,971.48 ,958.21 ,-0.0034
260,987.69 ,975.16 ,995.48 ,974.90 ,0.0202
261,1012.90 ,1002.46 ,1015.36 ,1002.45 ,0.0255
262,1021.57 ,1018.95 ,1022.83 ,1011.56 ,0.0086
263,1029.29 ,1021.93 ,1035.31 ,1021.29 ,0.0076
264,1030.72 ,1028.51 ,1035.79 ,1024.54 ,0.0014
265,1047.69 ,1040.63 ,1047.80 ,1038.86 ,0.0165
266,1052.40 ,1043.93 ,1052.59 ,1038.24 ,0.0045
267,1048.89 ,1045.66 ,1051.37 ,1038.53 ,-0.0033
268,1062.19 ,1054.38 ,1065.24 ,1054.38 ,0.0127
269,1045.69 ,1064.28 ,1067.45 ,1043.94 ,-0.0155
270,1063.83 ,1056.06 ,1065.08 ,1054.61 ,0.0173
271,1055.46 ,1064.89 ,1064.89 ,1048.58 ,-0.0079
272,1045.00 ,1050.78 ,1058.57 ,1037.51 ,-0.0099
273,1030.47 ,1043.89 ,1045.83 ,1022.16 ,-0.0139
274,1035.06 ,1021.60 ,1035.38 ,1018.47 ,0.0045
275,1027.83 ,1037.78 ,1044.29 ,1023.64 ,-0.007
276,1044.85 ,1034.70 ,1047.00 ,1034.42 ,0.0166
277,1056.65 ,1046.77 ,1057.44 ,1042.44 ,0.0113
278,1054.78 ,1059.85 ,1063.08 ,1050.67 ,-0.0018
279,1056.74 ,1055.92 ,1064.41 ,1050.07 ,0.0019
280,1053.61 ,1064.20 ,1064.87 ,1040.50 ,-0.003
281,1036.97 ,1042.95 ,1050.84 ,1035.94 ,-0.0158
282,1018.88 ,1040.53 ,1041.19 ,1017.60 ,-0.0174
283,994.71 ,1008.48 ,1010.01 ,978.60 ,-0.0237
284,986.69 ,1005.03 ,1008.23 ,982.85 ,-0.0081
285,984.82 ,982.54 ,985.74 ,969.85 ,-0.0019
286,995.77 ,997.83 ,1007.50 ,992.55 ,0.0111
287,973.85 ,988.93 ,988.93 ,973.83 ,-0.022
288,984.01 ,949.66 ,987.13 ,949.42 ,0.0104
289,953.29 ,968.16 ,974.68 ,948.35 ,-0.0312
290,952.86 ,962.71 ,967.75 ,941.03 ,-0.0005
291,980.61 ,962.86 ,982.39 ,962.20 ,0.0291
292,980.73 ,975.50 ,982.48 ,968.37 ,0.0001
293,977.81 ,984.61 ,993.72 ,977.69 ,-0.003
294,979.43 ,959.55 ,980.49 ,958.35 ,0.0017
295,1000.99 ,982.60 ,1002.49 ,982.07 ,0.022
296,995.29 ,1006.41 ,1007.04 ,994.81 ,-0.0057
297,1014.03 ,1003.05 ,1017.73 ,1001.71 ,0.0188
298,1015.23 ,1019.37 ,1021.60 ,1012.77 ,0.0012
299,1022.95 ,1018.09 ,1025.45 ,1018.09 ,0.0076
300,1018.98 ,1018.20 ,1023.69 ,1009.63 ,-0.0039
301,1023.04 ,1024.60 ,1032.74 ,1022.92 ,0.004
302,1023.63 ,1028.84 ,1031.44 ,1015.51 ,0.0006
303,1027.66 ,1024.76 ,1029.82 ,1021.78 ,0.0039
304,1014.97 ,1019.95 ,1022.32 ,1010.29 ,-0.0123
305,1033.08 ,1022.34 ,1034.23 ,1022.01 ,0.0178
306,1043.19 ,1031.03 ,1044.64 ,1029.96 ,0.0098
307,1046.35 ,1046.17 ,1053.71 ,1039.47 ,0.003
308,1043.15 ,1050.82 ,1053.36 ,1043.06 ,-0.0031
309,1057.72 ,1043.27 ,1058.10 ,1041.09 ,0.014
310,1062.79 ,1057.28 ,1062.84 ,1055.63 ,0.0048
311,1071.26 ,1063.70 ,1071.30 ,1060.89 ,0.008
312,1061.56 ,1070.07 ,1071.33 ,1059.75 ,-0.0091
313,1058.13 ,1061.82 ,1068.31 ,1045.61 ,-0.0032
314,1075.82 ,1053.93 ,1079.41 ,1053.46 ,0.0167
315,1075.02 ,1072.90 ,1081.15 ,1069.70 ,-0.0007
316,1076.59 ,1073.53 ,1079.92 ,1061.29 ,0.0015
317,1090.08 ,1076.24 ,1091.98 ,1074.93 ,0.0125
